arm,app,language,path,run_id,rule_id,severity,title,file,source
A,SecureFit,TypeScript,native,r_20260920213225_5wob3a,config.protected-files-unchanged,high,Protected files differ from the template,,config
A,SecureFit,TypeScript,native,r_20260920213225_5wob3a,sast.protected-file-modified,high,Protected security file was changed,.env,sast
A,SecureFit,TypeScript,native,r_20260920213225_5wob3a,tests.name-does-not-match-requirement,medium,A test may be named after a rule it does not check: authz > V8.2.2 administrators bypass ownership checks only where the registry allows it,,tests
A,SecureFit,TypeScript,native,r_20260920213225_5wob3a,tests.security-test-failed,medium,"A built-in security test is failing: authz > V8.2.1 a signed-in user with the wrong role is denied server-side (403 or 404), never validated first",tests/security/authz.test.ts,tests
A,SecureFit,TypeScript,native,r_20260920213225_5wob3a,tests.security-test-failed,medium,A built-in security test is failing: authz > V8.2.1 administrators can open the admin pages that members cannot,tests/security/authz.test.ts,tests
A,SecureFit,TypeScript,native,r_20260920213225_5wob3a,tests.security-test-failed,medium,A built-in security test is failing: authz > V8.3.1 the authorization decision is made on the server: client-side hints are ignored,tests/security/authz.test.ts,tests
A,SecureFit,TypeScript,native,r_20260920213225_5wob3a,tests.security-test-failed,medium,"A built-in security test is failing: themes > the rendered page > UX-01 the page carries the chosen theme, and the default when nothing was chosen",tests/security/theme.test.ts,tests
A,SecureFit,TypeScript,native,r_20260920213225_5wob3a,config.no-default-admin,info,Default administrator credential present,FIRST-LOGIN.txt,config
B,SecureFit,TypeScript,uploaded,r_20260920214627_uxdbx7,sast.sql-string-concat,high,Database query built by joining text,src/security/audit.ts,sast
B,SecureFit,TypeScript,uploaded,r_20260920214627_uxdbx7,sast.sql-string-concat,high,Database query built by joining text,src/security/authz.ts,sast
B,SecureFit,TypeScript,uploaded,r_20260920214627_uxdbx7,config.gitignore-covers-env,high,.gitignore does not exclude .env,.gitignore,config
B,SecureFit,TypeScript,uploaded,r_20260920214627_uxdbx7,config.ignore-scripts,medium,npm install scripts are allowed,.npmrc,config
B,SecureFit,TypeScript,uploaded,r_20260920214627_uxdbx7,config.env-example-present,low,.env.example is missing,.env.example,config
B,SecureFit,TypeScript,uploaded,r_20260920214627_uxdbx7,ai-review.finding,low,No human code review evidence for AI-generated feature code,src/features/body-weight-training/index.ts,ai-review
B,SecureFit,TypeScript,uploaded,r_20260920214627_uxdbx7,sast.multiple-writes-no-transaction,low,Several database writes without a transaction,src/features/auth/repo.ts,sast
B,SecureFit,TypeScript,uploaded,r_20260920214627_uxdbx7,ai-review.finding,info,Record schemas do not verify that endTime is after startTime,src/features/run/schema.ts,ai-review
B,SecureFit,TypeScript,uploaded,r_20260920214627_uxdbx7,ai-review.finding,info,Recovery codes hashed with keyed HMAC instead of an approved salted password-hashing algorithm,src/security/totp.ts,ai-review
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,sast.innerhtml-assignment,high,HTML set from data with innerHTML,static/app.js,sast
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,sast.innerhtml-assignment,high,HTML set from data with innerHTML,static/app.js,sast
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,sast.innerhtml-assignment,high,HTML set from data with innerHTML,static/app.js,sast
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,sast.innerhtml-assignment,high,HTML set from data with innerHTML,static/app.js,sast
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,sast.innerhtml-assignment,high,HTML set from data with innerHTML,static/app.js,sast
C,fitness-tracker,Python,uploaded,r_20260920212536_t4aqdm,config.gitignore-covers-env,high,.gitignore does not exclude .env,.gitignore,config
